time_myr,dt_myr,eroded_bedrock_volume_km3,reworked_sediment_volume_km3,transported_to_deep_reservoir_km3,rift_recycled_volume_km3,surface_sediment_volume_km3,deep_recycled_sediment_volume_km3,cumulative_rift_recycled_volume_km3,mean_sediment_thickness_m,max_sediment_thickness_m,area_fraction_over_1km,step_surface_mass_error_km3,global_continental_ledger_error_km3
172.0,4.0,2645718.583703807,1770890.5684375572,1938418.568589501,1084641.6876693524,66494988.50474819,40448710.71787288,40294255.83820264,189.30427884966446,7234.592638277951,0.05284212455865782,0.0,0.0
176.0,4.0,2882081.9817328434,1897908.2921364978,959388.7937596061,1680549.604045968,68417681.69272143,41408099.51163249,41974805.442248605,194.77798529857148,7400.837966422963,0.05218484066629914,0.0,4.76837158203125e-07
180.0,4.0,3295485.753778964,1807863.266162535,2287945.751518077,1624057.1254027095,69425221.69498232,43696045.263150565,43598862.56765132,197.64634632590764,7639.442911518177,0.053382940323564804,1.4901161193847656e-08,0.0
184.0,4.0,2597727.8180082515,1719204.001085145,1418772.501231838,1663382.513659012,70604177.01175871,45114817.76438241,45262245.08131033,201.00270882866076,7940.43695131569,0.05368710650255866,-2.9802322387695312e-08,9.5367431640625e-07
188.0,4.0,2729991.8387790723,1838877.291337572,1330512.3380760425,1523735.7440305217,72003656.51246175,46445330.10245845,46785980.82534085,204.98688062269844,8382.701347769378,0.05458855475383832,0.0,0.0
192.0,4.0,2730266.368259143,1886914.2113038995,2060751.6653102012,939273.5268301221,72673171.2154107,48506081.76776865,47725254.352170974,206.89291897041463,8206.367393427117,0.05473542150019697,0.0,4.76837158203125e-07
196.0,4.0,2817126.646447253,1749641.2766053705,1491555.8805934247,1068503.1574860956,73998741.98126453,49997637.64836208,48793757.50965707,210.6666803250201,8279.414079501359,0.05488502632722993,0.0,4.76837158203125e-07
200.0,4.0,2995402.6540193856,1712173.2819113347,753397.239254687,478884.44426295353,76240747.39602922,50751034.88761677,49272641.95392002,217.04943529291918,8361.843987840124,0.056876390114572885,-1.4901161193847656e-08,9.5367431640625e-07
204.0,4.0,2222850.5106059797,1918690.05019017,1852657.2971357922,1534208.9624769809,76610940.60949942,52603692.18475256,50806850.916397005,218.10333666032838,8721.815875331422,0.0582847712948357,1.4901161193847656e-08,4.76837158203125e-07
208.0,4.0,2415125.5086829104,1876493.866150417,1111876.0543140336,709846.1933285765,77914190.06386828,53715568.23906659,51516697.10972558,221.81355157529003,9068.455731785369,0.059507947812396565,-1.4901161193847656e-08,0.0
212.0,4.0,2411918.8073047088,2004266.5738787404,1805317.7492571352,1599468.9050433645,78520791.12191586,55520885.988323726,53116166.01476894,223.540481354892,9231.96974539512,0.060091648503700926,0.0,0.0
216.0,4.0,2260224.769523181,2107913.4234616035,790663.0043234429,801711.0131643467,79990352.8871156,56311548.99264717,53917877.02793329,227.72417002740468,9515.755724993704,0.0630230300006675,0.0,1.430511474609375e-06
220.0,4.0,2259076.8474365408,1929268.2592663586,1092591.1267286325,456949.56876826106,81156838.6078235,57404140.1193758,54374826.596701555,231.0450328941044,9607.836978147185,0.0628930397935765,0.0,1.430511474609375e-06
224.0,4.0,2389811.9338314254,1717294.2959332056,906136.4075760163,194526.33122231148,82640514.13407892,58310276.52695182,54569352.927923866,235.26890196845756,9709.864521066582,0.06337981563199169,0.0,4.76837158203125e-07
228.0,4.0,2370821.5243890802,1967858.759336189,1178677.2061293824,714031.1308387935,83832658.4523386,59488953.7330812,55283384.05876266,238.66281217925132,9785.23102869177,0.06575666027399532,0.0,4.76837158203125e-07
232.0,4.0,2038886.0823321503,1813740.1458543472,1046284.021958298,1113139.0556145275,84825260.51271246,60535237.7550395,56396523.11437719,241.4886464481052,10026.28905590411,0.06693831702117213,0.0,4.76837158203125e-07
236.0,4.0,2173867.5761880632,1655161.2339398314,451579.92330315796,128705.77704688745,86547548.16559738,60986817.678342655,56525228.89142408,246.39181929515033,10089.73979362809,0.06937741808330929,1.4901161193847656e-08,0.0
240.0,4.0,2643665.013804353,1630119.0141825262,803959.0288833204,548967.9109684245,88387254.15051842,61790776.70722598,57074196.802392505,251.6292698549924,10159.257381767271,0.07039505997528739,1.4901161193847656e-08,9.5367431640625e-07
244.0,4.0,1829346.5344366038,1857717.4593754944,1585869.885238571,544446.9683700644,88630730.79971644,63376646.59246455,57618643.77076257,252.32242241475072,10223.967482263131,0.07022615596185519,0.0,4.76837158203125e-07
248.0,4.0,1930739.1282637578,1610270.1827873234,520090.6655724853,329755.64200696326,90041379.2624077,63896737.25803704,57948399.41276953,256.33839107562346,10199.478650273202,0.07024391748868516,-1.4901161193847656e-08,4.76837158203125e-07
252.0,4.0,1909403.2145370254,1745101.7151697055,1309130.8544508917,506319.36416687805,90641651.62249383,65205868.11248793,58454718.77693641,258.04730371392515,10188.934019407789,0.06938871218603926,0.0,9.5367431640625e-07
256.0,4.0,2135962.5572343697,1751690.5755730753,374687.4039331178,69359.99481930143,92402926.7757951,65580555.51642104,58524078.77175571,263.06146989770787,10180.557597737296,0.07095103025218967,1.4901161193847656e-08,4.76837158203125e-07
