time_myr,dt_myr,mean_continental_lithosphere_age_myr,max_continental_lithosphere_age_myr,mean_mantle_depletion_fraction,max_mantle_depletion_fraction,mean_craton_strength,max_craton_strength,cratonic_area_fraction_of_surface,cratonic_fraction_of_continental_material,juvenile_continental_fraction_of_surface,new_continental_material_volume_km3,mean_extension_factor_continental
164.0,4.0,637.1358327660386,664.0,0.3611158657203314,0.3757137497288578,0.5371981127802918,0.5654424328004704,0.0,0.0,0.007779451431633987,769224.1600520955,0.6347052833094015
168.0,4.0,639.3603143333851,668.0,0.3617124882822338,0.3772405155151217,0.5381328108851298,0.5676095784609234,0.0,0.0,0.008369360189513585,775458.5267948398,0.6340696885981119
172.0,4.0,643.1309968979235,672.0,0.36315406329953603,0.3787605107325225,0.540623217386032,0.5697657970175353,0.0,0.0,0.008351406181103539,805524.8642197672,0.6323762121774984
176.0,4.0,645.8305636324758,676.0,0.36401453775671466,0.3802737654057064,0.5421181061443477,0.5719111439826586,0.0,0.0,0.008751809424037627,2332110.9075088366,0.6313596878218436
180.0,4.0,648.3248743417355,680.0,0.3647614401568034,0.38178030942617297,0.5433262037507733,0.5740456745857672,0.0,0.0,0.009228400831325237,730239.3945466407,0.6305381814494742
184.0,4.0,652.3897099488763,684.0,0.366358140774499,0.38328017255286545,0.5455674268881613,0.5761694437748944,0.0,0.0,0.009119466989967611,647382.0331204368,0.6290141497160504
188.0,4.0,655.3165590756258,688.0,0.36733203534328907,0.38477338441275855,0.5472441788744867,0.5782825062180666,0.0,0.0,0.00933041924340789,697306.7551557586,0.6278739583653491
192.0,4.0,657.7169403274712,692.0,0.36801983899387725,0.3862599745014437,0.5483948557981143,0.5803849163047274,0.0,0.0,0.00988115874951117,674572.483085742,0.6270914980572821
196.0,4.0,661.1685745073831,696.0,0.3692767710381625,0.3877399721837118,0.5501840405761735,0.582476728147155,0.0,0.0,0.009907233476108038,616431.7540445309,0.625874852408202
200.0,4.0,664.696069077028,700.0,0.37053956181091613,0.389213406694133,0.5524908733990073,0.5845579955818733,0.0,0.0,0.009792524022736658,622462.5210346219,0.624306206088675
204.0,4.0,667.2776346481652,704.0,0.3713271890406274,0.3906803071376345,0.5536923411208373,0.5866287721710546,0.0,0.0,0.010287694001573845,663961.2865908693,0.6234892080378305
208.0,4.0,670.7850789050946,708.0,0.3725891600713628,0.3921407024900752,0.5557400033246697,0.5886891112039166,0.0,0.0,0.010235495940782244,632315.5783677665,0.6220967977392245
212.0,4.0,674.4739166291844,712.0,0.37393176626222274,0.3935946215988182,0.5578758229834483,0.590739065698111,0.0,0.0,0.010022097118144667,660766.0632798874,0.6206444403712553
216.0,4.0,678.2990142795005,716.0,0.37535366295447187,0.3950420931833006,0.5598205688790513,0.5927786884011057,0.0,0.0,0.009928823897307927,659453.0511625872,0.619322013162245
220.0,4.0,681.6573983588183,720.0,0.37653147035586,0.3964831458356007,0.5614113900514711,0.5948080317915598,0.0,0.0,0.01000521158449212,573048.8600565244,0.6182402547649996
224.0,4.0,685.1337811754611,724.0,0.3777628812417026,0.39791780802100296,0.5634220720869494,0.5968271480806921,0.0,0.0,0.010026046461661069,563858.8256446011,0.6168729909808742
228.0,4.0,688.1920638516104,728.0,0.37875918713619966,0.3993461080785602,0.5648823504655746,0.598836089213642,0.0,0.0,0.010198161097185266,704147.1734859003,0.6158800016834093
232.0,4.0,691.4732987393317,732.0,0.37985570883677133,0.4007680742216533,0.5663228524139986,0.6008349068708237,0.0,0.0,0.010229701271685168,2312127.003116129,0.6149004603584808
236.0,4.0,695.4464480999894,736.0,0.381305780133172,0.40218373453854855,0.5683769721003233,0.6028236524692742,0.0,0.0,0.009990511256534324,628451.4767193242,0.6135036589717799
240.0,4.0,699.5117208021491,740.0,0.38283773304974933,0.40359311699295264,0.5703738314751509,0.604802377163993,0.0,0.0,0.009778048623280754,592821.6480026578,0.6121457945968974
244.0,4.0,702.6205623936974,744.0,0.38384986480544336,0.4049962494245648,0.5718562041762774,0.606771131849277,0.0,0.0,0.009895940479718469,570982.5619308064,0.6111377811601314
248.0,4.0,706.0464012122661,748.0,0.3850311010168363,0.40639315954962685,0.57382738086641,0.6087299671600467,0.0,0.0,0.009893533751887125,705903.4879695408,0.6097973810108412
252.0,4.0,708.9526126954705,752.0,0.3859445364375911,0.40778387496147056,0.5750588483087805,0.6106789334731666,0.0,0.0,0.010106444064905646,463749.8542189314,0.6089599831500292
256.0,4.0,712.5224036090765,756.0,0.387168613189046,0.40916842313106294,0.5768439150763273,0.6126180809087597,0.0,0.0,0.009974172525424166,512558.28285377705,0.6077461377480975
260.0,4.0,714.7793035769234,760.0,0.3877326905127365,0.4105468314075486,0.5774055858200604,0.6145474593315132,0.0,0.0,0.010477828482823,543074.3555967028,0.6073642016423588
